YEAR,MO,DY,HR,WS50M,WD50M
2006,1,29,5,5.14,120.9
2006,1,29,6,5.39,117.3
2006,1,29,7,6.79,110.5
2006,1,29,8,7.0,106.1
2006,1,29,9,6.82,103.4
2006,1,29,10,6.57,103.0
2006,1,29,11,6.31,104.3
2006,1,29,12,6.07,105.8
2006,1,29,13,5.8,106.8
2006,1,29,14,5.58,106.1
2006,1,29,15,5.73,102.8
2006,1,29,16,6.42,97.5
2006,1,29,17,7.62,92.7
2006,1,29,18,8.94,90.1
2006,1,29,19,9.76,89.4
2006,1,29,20,10.16,90.2
2006,1,29,21,9.52,91.7
2006,1,29,22,8.57,93.9
2006,1,29,23,7.72,95.5
2006,1,30,0,7.09,96.1
2006,1,30,1,6.81,95.3
2006,1,30,2,6.49,94.6
2006,1,30,3,6.12,94.6
2006,1,30,4,5.68,96.0
2006,1,30,5,5.3,98.8
2006,1,30,6,5.29,101.0
2006,1,30,7,6.61,98.2
2006,1,30,8,6.61,98.2
2006,1,30,9,6.21,98.4
2006,1,30,10,5.8,98.7
2006,1,30,11,5.49,99.8
2006,1,30,12,5.39,100.9
2006,1,30,13,5.42,100.7
2006,1,30,14,5.59,98.6
2006,1,30,15,5.95,95.9
2006,1,30,16,6.72,92.9
2006,1,30,17,8.06,89.9
2006,1,30,18,9.47,87.7
2006,1,30,19,10.18,88.1
2006,1,30,20,10.27,91.5
2006,1,30,21,9.47,95.5
2006,1,30,22,8.54,98.6
2006,1,30,23,7.71,100.7
2006,1,31,0,7.05,102.8
2006,1,31,1,6.75,104.0
2006,1,31,2,6.47,104.8
2006,1,31,3,6.31,105.2
2006,1,31,4,6.37,105.4
2006,1,31,5,6.42,106.6
2006,1,31,6,6.57,107.4
2006,1,31,7,8.18,105.8
2006,1,31,8,8.29,106.0
2006,1,31,9,7.9,107.1
2006,1,31,10,7.4,109.4
2006,1,31,11,6.84,112.3
2006,1,31,12,6.41,113.9
2006,1,31,13,6.22,113.3
2006,1,31,14,6.24,111.1
2006,1,31,15,6.41,109.4
2006,1,31,16,7.07,106.8
2006,1,31,17,8.11,103.8
2006,1,31,18,9.33,101.2
2006,1,31,19,10.01,100.4
2006,1,31,20,10.08,101.4
2006,1,31,21,9.42,103.4
2006,1,31,22,8.8,105.6
2006,1,31,23,8.4,107.7
2006,2,1,0,8.04,109.2
2006,2,1,1,7.66,110.5
2006,2,1,2,7.15,111.7
2006,2,1,3,6.52,112.6
2006,2,1,4,5.85,112.3
2006,2,1,5,5.48,110.8
2006,2,1,6,5.63,109.9
2006,2,1,7,7.0,110.0
2006,2,1,8,6.81,111.8
2006,2,1,9,6.37,115.2
2006,2,1,10,5.86,120.0
2006,2,1,11,5.4,125.0
2006,2,1,12,5.08,127.6
2006,2,1,13,4.75,125.9
2006,2,1,14,4.61,118.9
2006,2,1,15,4.96,110.2
2006,2,1,16,6.06,101.8
2006,2,1,17,7.66,97.1
2006,2,1,18,9.44,95.3
2006,2,1,19,10.61,95.6
2006,2,1,20,10.67,96.9
2006,2,1,21,9.69,98.7
2006,2,1,22,8.5,99.8
2006,2,1,23,7.53,100.2
2006,2,2,0,6.79,100.0
2006,2,2,1,6.21,99.8
2006,2,2,2,5.73,100.0
2006,2,2,3,5.49,100.2
2006,2,2,4,5.41,100.2
2006,2,2,5,5.25,100.2
2006,2,2,6,5.31,100.2
2006,2,2,7,6.56,98.9
2006,2,2,8,6.77,99.5
2006,2,2,9,6.85,100.6
2006,2,2,10,6.97,101.6
2006,2,2,11,6.99,102.5
2006,2,2,12,6.98,102.4
2006,2,2,13,7.03,101.1
2006,2,2,14,7.09,99.0
2006,2,2,15,7.24,96.9
2006,2,2,16,7.6,94.8
2006,2,2,17,8.47,93.0
2006,2,2,18,9.38,92.1
2006,2,2,19,9.93,92.4
2006,2,2,20,9.83,94.7
2006,2,2,21,9.38,98.2
2006,2,2,22,8.88,101.4
2006,2,2,23,8.23,103.6
2006,2,3,0,7.53,104.6
2006,2,3,1,7.21,106.2
2006,2,3,2,6.87,108.6
2006,2,3,3,6.23,111.1
2006,2,3,4,5.81,113.2
2006,2,3,5,5.71,114.2
2006,2,3,6,6.01,114.3
2006,2,3,7,7.87,112.4
2006,2,3,8,8.15,112.7
2006,2,3,9,8.0,113.3
2006,2,3,10,7.74,113.6
2006,2,3,11,7.46,113.6
2006,2,3,12,7.22,113.3
2006,2,3,13,7.18,112.5
2006,2,3,14,7.29,111.3
2006,2,3,15,7.5,109.7
2006,2,3,16,7.98,108.0
2006,2,3,17,8.83,105.9
2006,2,3,18,9.57,104.8
2006,2,3,19,10.02,104.3
2006,2,3,20,9.95,105.6
2006,2,3,21,9.37,108.2
2006,2,3,22,8.8,111.8
